;Tool  Pocket X Offset     Y Offset     Z Offset     Diameter     Remark
T1     P1     X+0.000000   Y+0.000000   Z+2.565000   D+0.125000   ; tool 1
T2     P2     X+0.000000   Y+0.000000   Z+1.750000   D+0.062500   ; tool 2
T3     P3     X+0.000000   Y+0.000000   Z+2.850000   D+0.201000   ; tool 3
T4     P4     X+0.000000   Y+0.000000   Z+3.000000   D+0.250000   ; tool 4
T5     P5     X+0.000000   Y+0.000000   Z+4.250000   D+0.500000   ; tool 5
T6     P6     X+0.000000   Y+0.000000   Z+3.000000   D+1.000000   ; tool 6
T7     P7     X+0.000000   Y+0.000000   Z+2.250000   D+1.000000   ; tool 7
T8     P8     X+0.000000   Y+0.000000   Z+2.750000   D+0.375000   ; tool 8
T9     P9     X+0.000000   Y+0.000000   Z+3.125000   D+0.125000   ; tool 9
T10    P10    X+0.000000   Y+0.000000   Z+0.200000   D+0.500000   ; tool 10
T11    P11    X+0.000000   Y+0.000000   Z+3.750000   D+0.312500   ; tool 11
T12    P12    X+0.000000   Y+0.000000   Z+4.000000   D+0.250000   ; tool 12
T13    P13    X+0.000000   Y+0.000000   Z+2.750000   D+1.250000   ; tool 13
T14    P14    X+0.000000   Y+0.000000   Z+3.155000   D+0.750000   ; TOOL 14
T99    P15    X+0.000000   Y+0.000000   Z+1.000000   D+0.125000   ; TOUCH PROBE
